분류,명칭,주소,행정 시,행정 구,행정 동,X,Y
문화재유산|문화재구분|궁궐,옥천교,서울특별시 종로구 와룡동 2-1 창경궁,서울특별시,종로구,종로1.2.3.4가동,126.9950431,37.5805909
문화재유산|문화재구분|조형물,옥파 이종일 선생 동상,서울특별시 종로구 수송동 80-7 수송공원,서울특별시,종로구,종로1.2.3.4가동,126.9811467,37.5738539
문화재유산|문화재구분|조형물,용동궁(龍洞宮) 터,서울특별시 종로구 수송동 일반 80번지,서울특별시,종로구,종로1.2.3.4가동,126.9806,37.5737
문화재유산|문화재구분|조형물,용성스님거주터,서울특별시 종로구 봉익동 일반 2번지,서울특별시,종로구,종로1.2.3.4가동,126.992966,37.5721762
문화재유산|문화재구분|예술가의집,우리시대' 불꽃'과' 비수'의 시인 김수영 생가,서울특별시 종로구 종로2가 158번지,서울특별시,종로구,종로1.2.3.4가동,126.9847482,37.5688039
문화재유산|문화재구분|조형물,우미관터(優美館址),서울특별시 종로구 종로1가 75-2번지,서울특별시,종로구,종로1.2.3.4가동,126.9843088,37.5747426
문화재유산|문화재구분|조형물,우산각(雨傘閣) 터,서울특별시 종로구 숭인동 9-13번지,서울특별시,종로구,숭인1동,127.0154862,37.5792582
문화재유산|문화재구분|집터,우암 송시열 집터,서울특별시 종로구 명륜1가 5-99,서울특별시,종로구,혜화동,126.996944,37.5907127
문화재유산|문화재구분|조형물,우포도청(右捕盜廳) 터,서울특별시 종로구 세종로동 139-8,서울특별시,종로구,종로1.2.3.4가동,126.979642,37.573033
문화재유산|문화재구분|가옥,운니동 김승현 가옥 (운현궁 영로당),서울특별시 종로구 운니동 114-32,서울특별시,종로구,종로1.2.3.4가동,126.9866426,37.5764528
문화재유산|문화재구분|조형물,원각사(圓覺社) 터,서울특별시 종로구 신문로1가 42번지,서울특별시,종로구,사직동,126.9734104,37.5706533
문화재유산|문화재구분|가옥,원서동 백홍범 가옥,서울특별시 종로구 원서동 9-5,서울특별시,종로구,가회동,126.988488,37.5837108
문화재유산|문화재구분|조형물,월사 이정귀집터 (月沙 李廷龜家址),서울특별시 종로구 명륜4가 206-54,서울특별시,종로구,혜화동,126.9977977,37.5819565
문화재유산|문화재구분|조형물,유심사,서울특별시 종로구 계동 58번지,서울특별시,종로구,가회동,126.9870006,37.5821604
문화재유산|문화재구분|조형물,육군무관학교터(陸軍武官學校),서울특별시 종로구 신문로1가 일반 238번지,서울특별시,종로구,사직동,126.9761849,37.5704858
문화재유산|문화재구분|조형물,육의전(六矣廛) 터,서울특별시 종로구 종로2가 일반 31번지,서울특별시,종로구,종로1.2.3.4가동,126.9895626,37.5705897
문화재유산|문화재구분|종교문화재,의겸등필수월관음도,서울특별시 종로구 창신동 130-3,서울특별시,종로구,창신1동,127.013769,37.5755637
문화재유산|문화재구분|조형물,의금부(義禁府) 터,서울특별시 종로구 공평동 일반 100번지,서울특별시,종로구,종로1.2.3.4가동,126.9828,37.5711
문화재유산|문화재구분|조형물,의영고(義盈庫) 터,서울특별시 종로구 도렴동 95-1번지,서울특별시,종로구,사직동,126.9750315,37.5736161
문화재유산|문화재구분|조형물,의정부(義政部)터,서울특별시 종로구 세종로동 76-4번지,서울특별시,종로구,삼청동,126.979642,37.573033
문화재유산|문화재구분|예술가의집,이광수 (李光洙 1892-1950)家,서울특별시 종로구 홍지동 40,서울특별시,종로구,부암동,126.9560406,37.6002694
문화재유산|문화재구분|조형물,이동녕주석 집터,서울특별시 종로구 봉익동 60번지,서울특별시,종로구,종로1.2.3.4가동,126.993694,37.5716584
문화재유산|문화재구분|조형물,이문터(里門址),서울특별시 종로구 종로2가 22-2번지,서울특별시,종로구,종로1.2.3.4가동,126.9871408,37.5704428
문화재유산|문화재구분|조형물,이상재선생(李商在先生) 집터,서울특별시 종로구 가회동 156번지,서울특별시,종로구,가회동,126.9847947,37.580111
문화재유산|문화재구분|조형물,이석형(李石亨) 생가터,서울특별시 종로구 연건동 28-21,서울특별시,종로구,이화동,126.9987981,37.579166
문화재유산|문화재구분|조형물,이순신 장군,서울특별시 종로구 세종로 광화문 녹지대,서울특별시,종로구,청운효자동,126.9767571,37.5802853
문화재유산|문화재구분|조형물,이율곡선생 살던집터,서울특별시 종로구 관훈동 197-28,서울특별시,종로구,종로1.2.3.4가동,126.9854649,37.5731065
문화재유산|문화재구분|조형물,이조(吏曹) 터,서울특별시 종로구 세종로동 82-1번지,서울특별시,종로구,사직동,126.979642,37.573033
문화재유산|문화재구분|조형물,이항복(李恒福) 집터,서울특별시 종로구 필운동 산1-2번지,서울특별시,종로구,사직동,126.9663079,37.5781153
문화재유산|문화재구분|조형물,이현궁(梨峴宮) 터,서울특별시 종로구 인의동 48번지,서울특별시,종로구,종로1.2.3.4가동,126.9990685,37.5724941
문화재유산|문화재구분|종교문화재,인왕사,서울특별시 종로구 무악동 산3번지,서울특별시,종로구,무악동,126.9562643,37.5758501
문화재유산|문화재구분|종교문화재,일선사,서울특별시 종로구 평창동 산6-1번지,서울특별시,종로구,평창동,126.9741928,37.6227107
문화재유산|문화재구분|조형물,자수궁터(慈壽宮址),서울특별시 종로구 옥인동 45-1번지,서울특별시,종로구,청운효자동,126.9682289,37.5822949
문화재유산|문화재구분|조형물,장예원터(掌隸院址),서울특별시 종로구 당주동 11번지,서울특별시,종로구,사직동,126.9748993,37.57196
문화재유산|문화재구분|조형물,장원서터(掌苑署址),서울특별시 종로구 화동2번지,서울특별시,종로구,종로1.2.3.4가동,126.9831241,37.5807844
문화재유산|문화재구분|조형물,장흥고터(長興庫址),서울특별시 종로구 적선동 107-1번지,서울특별시,종로구,사직동,126.9728685,37.5761659
문화재유산|문화재구분|조형물,전옥서(典獄署) 터,서울특별시 종로구 종로1가 일반 20-3번지,서울특별시,종로구,종로1.2.3.4가동,126.9778487,37.5705957
문화재유산|문화재구분|조형물,전의감(典醫監) 터,서울특별시 종로구 견지동 39-7번지,서울특별시,종로구,종로1.2.3.4가동,126.9826182,37.5744559
문화재유산|문화재구분|조형물,전차차고(電車車庫) 터,서울특별시 종로구 종로6가 일반 94-1번지,서울특별시,종로구,종로5.6가동,126.9838679,37.570451
문화재유산|문화재구분|조형물,정도전(鄭道傳) 집터,서울특별시 종로구 수송동 146-2번지,서울특별시,종로구,종로1.2.3.4가동,126.979262,37.5729289
문화재유산|문화재구분|집터,정업원 터,서울특별시 종로구 숭인동 산3,서울특별시,종로구,숭인1동,127.0162555,37.5796166
문화재유산|문화재구분|조형물,정철선생(鄭澈先生) 나신 곳,서울특별시 종로구 청운동 123번지,서울특별시,종로구,청운효자동,126.969628,37.5856345
